client_id,order_date,order_price,city_id
43017,2022-01-01 00:00:00,10000,1
43022,2022-01-01 00:00:00,7700,3
43104,2022-01-01 00:00:00,3200,1
43116,2022-01-01 00:00:00,9700,1
43153,2022-01-01 00:00:00,6750,2
43215,2022-01-01 00:00:00,2300,1
43276,2022-01-01 00:00:00,5200,2
43383,2022-01-01 00:00:00,9650,1
43454,2022-01-01 00:00:00,9600,3
43463,2022-01-01 00:00:00,3250,3
43489,2022-01-01 00:00:00,6050,2
43542,2022-01-01 00:00:00,9800,1
43581,2022-01-01 00:00:00,1400,1
43584,2022-01-01 00:00:00,9800,1
43616,2022-01-01 00:00:00,4900,3
43627,2022-01-01 00:00:00,5800,2
43631,2022-01-01 00:00:00,1850,3
43634,2022-01-01 00:00:00,4700,3
43707,2022-01-01 00:00:00,4100,1
43732,2022-01-01 00:00:00,2500,2
43738,2022-01-01 00:00:00,2450,2
43769,2022-01-01 00:00:00,8350,3
43791,2022-01-01 00:00:00,1800,1
43849,2022-01-01 00:00:00,7000,2
43902,2022-01-01 00:00:00,1450,1
43907,2022-01-01 00:00:00,5900,3
43918,2022-01-01 00:00:00,1450,2
43947,2022-01-01 00:00:00,8100,1
43043,2022-01-02 00:00:00,5900,3
43066,2022-01-02 00:00:00,2900,2
43092,2022-01-02 00:00:00,7050,1
43112,2022-01-02 00:00:00,3050,3
43157,2022-01-02 00:00:00,7800,3
43171,2022-01-02 00:00:00,9800,2
43216,2022-01-02 00:00:00,8100,2
43233,2022-01-02 00:00:00,8050,1
43259,2022-01-02 00:00:00,5550,3
43268,2022-01-02 00:00:00,1150,3
43348,2022-01-02 00:00:00,3800,2
43352,2022-01-02 00:00:00,9300,3
43367,2022-01-02 00:00:00,3100,3
43385,2022-01-02 00:00:00,9900,3
43411,2022-01-02 00:00:00,8650,2
43526,2022-01-02 00:00:00,3500,3
43536,2022-01-02 00:00:00,8400,1
43558,2022-01-02 00:00:00,2650,2
43559,2022-01-02 00:00:00,8300,3
43562,2022-01-02 00:00:00,5650,3
43630,2022-01-02 00:00:00,6950,2
43710,2022-01-02 00:00:00,2850,1
43713,2022-01-02 00:00:00,2350,1
43747,2022-01-02 00:00:00,7650,2
43759,2022-01-02 00:00:00,3550,2
43778,2022-01-02 00:00:00,2650,3
43839,2022-01-02 00:00:00,8250,1
43848,2022-01-02 00:00:00,5350,1
43853,2022-01-02 00:00:00,9850,3
43867,2022-01-02 00:00:00,3100,2
43874,2022-01-02 00:00:00,2200,3
43885,2022-01-02 00:00:00,8600,2
43925,2022-01-02 00:00:00,4900,3
43945,2022-01-02 00:00:00,8600,2
43953,2022-01-02 00:00:00,9250,1
43002,2022-01-03 00:00:00,4550,1
43040,2022-01-03 00:00:00,9550,3
43050,2022-01-03 00:00:00,5350,1
43061,2022-01-03 00:00:00,7050,3
43210,2022-01-03 00:00:00,7250,2
43280,2022-01-03 00:00:00,5050,3
43322,2022-01-03 00:00:00,4200,3
43381,2022-01-03 00:00:00,7150,2
43390,2022-01-03 00:00:00,4600,2
43407,2022-01-03 00:00:00,4350,1
43415,2022-01-03 00:00:00,4500,3
43490,2022-01-03 00:00:00,2300,3
43604,2022-01-03 00:00:00,3800,3
43613,2022-01-03 00:00:00,2400,3
43645,2022-01-03 00:00:00,5850,2
43670,2022-01-03 00:00:00,3250,3
43692,2022-01-03 00:00:00,4200,1
43783,2022-01-03 00:00:00,6950,2
43784,2022-01-03 00:00:00,9900,3
43843,2022-01-03 00:00:00,7650,2
43844,2022-01-03 00:00:00,4100,3
43846,2022-01-03 00:00:00,9750,2
43862,2022-01-03 00:00:00,2850,3
43913,2022-01-03 00:00:00,9050,3
43109,2022-01-04 00:00:00,9700,3
43121,2022-01-04 00:00:00,1050,3
43144,2022-01-04 00:00:00,7000,2
43170,2022-01-04 00:00:00,9350,1
43173,2022-01-04 00:00:00,9450,1
43187,2022-01-04 00:00:00,3200,3
43190,2022-01-04 00:00:00,2200,3
43214,2022-01-04 00:00:00,7350,3
43230,2022-01-04 00:00:00,6300,1
43249,2022-01-04 00:00:00,5500,2
43260,2022-01-04 00:00:00,8850,1
43306,2022-01-04 00:00:00,7800,2
43392,2022-01-04 00:00:00,7650,1
43557,2022-01-04 00:00:00,7650,1
43568,2022-01-04 00:00:00,2250,3
43571,2022-01-04 00:00:00,9150,3
43636,2022-01-04 00:00:00,5000,2
43657,2022-01-04 00:00:00,3350,2
43663,2022-01-04 00:00:00,2650,2
43694,2022-01-04 00:00:00,2150,3
43723,2022-01-04 00:00:00,8300,2
